Packet,State,CWND,SSTHRESH
1,slow_start,2,16
2,slow_start,3,16
3,slow_start,4,16
4,slow_start,5,16
5,slow_start,1,2.5
6,slow_start,2,2.5
7,congestion_avoidance,3,2.5
8,congestion_avoidance,3.3333333333333335,2.5
9,congestion_avoidance,3.6333333333333333,2.5
10,congestion_avoidance,3.9085626911314986,2.5
11,congestion_avoidance,4.164411216286025,2.5
12,congestion_avoidance,4.404541200589505,2.5
13,congestion_avoidance,4.631579603560094,2.5
14,congestion_avoidance,4.847488663879675,2.5
15,slow_start,1,2.4237443319398375
16,slow_start,2,2.4237443319398375
17,congestion_avoidance,3,2.4237443319398375
18,congestion_avoidance,3.3333333333333335,2.4237443319398375
19,congestion_avoidance,3.6333333333333333,2.4237443319398375
20,congestion_avoidance,3.9085626911314986,2.4237443319398375
21,congestion_avoidance,4.164411216286025,2.4237443319398375
22,congestion_avoidance,4.404541200589505,2.4237443319398375
23,congestion_avoidance,4.631579603560094,2.4237443319398375
24,congestion_avoidance,4.847488663879675,2.4237443319398375
25,congestion_avoidance,5.053781049347505,2.4237443319398375
26,congestion_avoidance,5.251652700342182,2.4237443319398375
27,congestion_avoidance,5.44206894777127,2.4237443319398375
28,congestion_avoidance,5.6258225917616755,2.4237443319398375
29,congestion_avoidance,5.80357437537895,2.4237443319398375
30,congestion_avoidance,5.975881980196146,2.4237443319398375
31,congestion_avoidance,6.143221295683627,2.4237443319398375
32,congestion_avoidance,6.306002343584771,2.4237443319398375
33,congestion_avoidance,6.46458141563623,2.4237443319398375
34,congestion_avoidance,6.6192704721590925,2.4237443319398375
35,congestion_avoidance,6.770344522419773,2.4237443319398375
36,congestion_avoidance,6.918047493323031,2.4237443319398375
37,congestion_avoidance,7.062596949071224,2.4237443319398375
38,congestion_avoidance,7.204187925763092,2.4237443319398375
39,congestion_avoidance,7.342996076009128,2.4237443319398375
40,congestion_avoidance,7.479180269715451,2.4237443319398375
41,slow_start,1,3.7395901348577256
42,slow_start,2,3.7395901348577256
43,slow_start,3,3.7395901348577256
44,congestion_avoidance,4,3.7395901348577256
45,congestion_avoidance,4.25,3.7395901348577256
46,congestion_avoidance,4.485294117647059,3.7395901348577256
47,congestion_avoidance,4.70824493731919,3.7395901348577256
48,congestion_avoidance,4.920638305402837,3.7395901348577256
49,congestion_avoidance,5.123863972061165,3.7395901348577256
50,congestion_avoidance,5.319029184379971,3.7395901348577256
